Title	URL	Assignees	Status	Estimated size	Real size
Define entities for DBs	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/34		Product Backlog		
Create Basic UI Layout	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/23		Product Backlog		
Create multiple pages for Router Outlet	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/24		Product Backlog		
Create Overview page	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/25		Product Backlog		
Add functionallity to sidebar	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/29		Product Backlog		
Setup Database and Integrate it	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/15		Product Backlog		
Setup Dockerfile (Backend)	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/17		Product Backlog		
Create Docker Compose Configuration	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/18		Product Backlog		
Create User Database	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/30		Product Backlog		
Create Backup Nodes & Manager	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/31		Product Backlog		
Create User Node	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/32		Product Backlog		
Add Jacoco To Build And Integrate As Badge	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/16		Product Backlog		
Create Tests for frontend	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/33		Product Backlog		
Create Documentation	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/26		Product Backlog		
Setup Basic Angular Project (Frontend)	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/3	krueger-hash	Awaiting Review	2	2
Create first architecture draft	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/8	fe27hity	Awaiting Review	3	
Setup Build Process For Frontend	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/11	robinrj6	Awaiting Review	3	
Create Basic Spring Boot Project	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/9	ervinn09	Awaiting Review	2	
Setup Build Process For Backend	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/10	HansKiller-TH	Awaiting Review	3	
Deciding our team logo	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/1	Stringrimm	Awaiting Review	1	
Deciding our Tshirt design	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/2	Stringrimm	Awaiting Review	1	
Familiarize with {insert REST/Zookeeper/...} Tech	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/7		Feature Archive		
Backend Techstack	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/4		Feature Archive		
Familiarize with Angular	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/6		Feature Archive		
Familiarize with Springboot	https://github.com/amosproj/amos2025ws02-backup-cluster-manager/issues/5		Feature Archive		
